team,expected_points,p_champion,p_runner_up,p_third_place,p_semi_final,p_quarter_final,p_round_of_16,p_round_of_32,p_group_1,p_group_2,p_group_3,p_group_4,p_bonus_goals
Spain,52.22,0.1581,0.0756,0.0734,0.3388,0.5037,0.7271,0.9886,0.8001,0.1559,0.037,0.007,0.0129
England,45.04,0.0903,0.0917,0.0611,0.2894,0.4726,0.6712,0.952,0.6206,0.2573,0.0932,0.029,0.0183
Argentina,44.49,0.1154,0.0596,0.0585,0.2613,0.3938,0.6856,0.9664,0.6579,0.2334,0.0886,0.0201,0.0172
Belgium,44.04,0.0734,0.0906,0.072,0.3021,0.4554,0.6862,0.9478,0.6117,0.2461,0.1103,0.0319,0.0176
Brazil,40.93,0.0753,0.0585,0.057,0.2238,0.4236,0.6452,0.9526,0.5688,0.2982,0.1058,0.0272,0.017
Portugal,40.93,0.0734,0.0668,0.0701,0.2597,0.4476,0.6468,0.9167,0.517,0.2934,0.1361,0.0535,0.0195
France,40.92,0.0882,0.0566,0.0759,0.2641,0.4307,0.6713,0.9042,0.4942,0.2852,0.1636,0.057,0.0205
Germany,37.84,0.0518,0.0428,0.0679,0.2105,0.3625,0.6306,0.9266,0.5695,0.2564,0.1246,0.0495,0.0168
Netherlands,34.28,0.0409,0.049,0.0406,0.1688,0.319,0.5142,0.9074,0.5377,0.2638,0.135,0.0634,0.0192
Morocco,30.36,0.0347,0.0398,0.0338,0.1413,0.2966,0.4937,0.894,0.3405,0.4218,0.1772,0.0606,0.0212
Mexico,29.11,0.0203,0.0353,0.0261,0.1182,0.2504,0.5168,0.8511,0.4274,0.2814,0.1839,0.1073,0.0251
Switzerland,27.66,0.0173,0.0258,0.0276,0.1029,0.2305,0.4939,0.8599,0.4002,0.3057,0.1993,0.0948,0.0217
Colombia,26.47,0.0189,0.0292,0.031,0.1138,0.245,0.442,0.8135,0.3244,0.3412,0.2132,0.1212,0.0237
Turkey,24.8,0.011,0.0182,0.0209,0.0832,0.184,0.424,0.8104,0.3858,0.2712,0.201,0.142,0.0232
Canada,23.25,0.005,0.0111,0.0134,0.0534,0.1472,0.3951,0.8545,0.3739,0.3191,0.2144,0.0927,0.0234
Croatia,22.98,0.0104,0.021,0.0204,0.0816,0.1942,0.3816,0.8017,0.2583,0.3844,0.2341,0.1232,0.0214
Norway,22.21,0.011,0.0151,0.0216,0.0755,0.1846,0.4116,0.7789,0.2552,0.3218,0.2868,0.1362,0.0207
Iran,21.79,0.0112,0.0204,0.02,0.0811,0.1933,0.4117,0.7762,0.2036,0.3522,0.3167,0.1275,0.0233
Czech Republic,21.05,0.007,0.0178,0.016,0.0667,0.1529,0.3784,0.7261,0.2709,0.2727,0.2552,0.2012,0.0234
Japan,20.36,0.009,0.017,0.016,0.0617,0.1439,0.2883,0.7596,0.2578,0.3307,0.2465,0.165,0.0251
Senegal,19.77,0.0096,0.0122,0.0172,0.0602,0.1542,0.3622,0.7265,0.2127,0.2951,0.3135,0.1786,0.0226
Ecuador,18.81,0.0071,0.0118,0.016,0.0532,0.1384,0.338,0.7181,0.1884,0.3168,0.3106,0.1842,0.0252
Ivory Coast,18.51,0.0062,0.0104,0.0138,0.05,0.1316,0.3368,0.7139,0.1952,0.3023,0.3087,0.1938,0.0213
South Korea,18.11,0.0063,0.0131,0.0118,0.0486,0.1247,0.3214,0.6602,0.1997,0.2618,0.2824,0.256,0.0263
United States,18.02,0.0055,0.011,0.0112,0.0462,0.115,0.297,0.6679,0.2265,0.2512,0.261,0.2612,0.022
Egypt,17.93,0.0049,0.0116,0.0112,0.0498,0.1377,0.3429,0.724,0.1618,0.3199,0.3623,0.1561,0.0205
Austria,17.26,0.005,0.0078,0.0096,0.0354,0.0953,0.3131,0.7556,0.1705,0.3499,0.346,0.1337,0.0226
Algeria,17.16,0.007,0.0098,0.0126,0.0428,0.1105,0.3022,0.7236,0.1522,0.3384,0.3518,0.1576,0.023
Paraguay,16.5,0.0029,0.0086,0.0082,0.0361,0.0964,0.2629,0.6281,0.2022,0.2405,0.2658,0.2914,0.0267
Australia,16.06,0.0036,0.0089,0.0085,0.0356,0.0983,0.2586,0.6071,0.1855,0.2371,0.2721,0.3053,0.0228
Uruguay,15.8,0.003,0.0058,0.0061,0.0244,0.0581,0.2234,0.7522,0.1302,0.4525,0.263,0.1543,0.0218
Bosnia and Herzegovina,14.84,0.0012,0.0044,0.0054,0.0221,0.0726,0.2358,0.6429,0.1739,0.2514,0.3251,0.2496,0.0244
DR Congo,12.15,0.0022,0.0072,0.0074,0.0299,0.0793,0.1806,0.4743,0.0854,0.1904,0.3376,0.3867,0.0244
South Africa,12.13,0.0018,0.0043,0.0046,0.0205,0.061,0.1803,0.4671,0.102,0.184,0.2785,0.4354,0.0231
Sweden,11.39,0.0013,0.0032,0.0031,0.0148,0.0476,0.1331,0.4966,0.0988,0.2063,0.3028,0.3921,0.0224
Tunisia,11.38,0.0009,0.0026,0.0035,0.0129,0.0461,0.136,0.5091,0.1056,0.1992,0.3158,0.3794,0.0218
Scotland,11.24,0.002,0.0048,0.0056,0.0232,0.0686,0.1726,0.5306,0.0687,0.1872,0.4274,0.3167,0.019
Uzbekistan,11.05,0.0017,0.0048,0.0042,0.019,0.0596,0.1564,0.437,0.0732,0.175,0.3132,0.4386,0.0209
Panama,10.91,0.0012,0.0039,0.0039,0.0171,0.0552,0.1499,0.4775,0.0695,0.1978,0.3437,0.389,0.0193
Cape Verde,9.38,0.0008,0.0022,0.0017,0.0082,0.0273,0.116,0.4562,0.041,0.2159,0.3649,0.3782,0.0184
Ghana,9.21,0.0004,0.0024,0.0018,0.0096,0.0354,0.1009,0.403,0.0516,0.1605,0.329,0.4589,0.0193
Curaçao,8.94,0.0004,0.0015,0.0021,0.0086,0.0327,0.1064,0.3221,0.0468,0.1245,0.2561,0.5725,0.016
Qatar,8.78,0.0004,0.0008,0.0012,0.0064,0.0225,0.093,0.3418,0.052,0.1238,0.2612,0.563,0.0194
Iraq,8.41,0.0006,0.0018,0.002,0.0087,0.0306,0.0918,0.2698,0.038,0.0979,0.236,0.6282,0.0169
Saudi Arabia,8.37,0.0005,0.0011,0.0009,0.0046,0.019,0.0879,0.388,0.0288,0.1757,0.3351,0.4604,0.0181
Haiti,7.55,0.0006,0.0014,0.0018,0.0074,0.0238,0.0699,0.2768,0.0219,0.0929,0.2896,0.5955,0.0167
New Zealand,7.39,0.0001,0.0004,0.0007,0.0026,0.0145,0.0612,0.2246,0.023,0.0818,0.2107,0.6845,0.0181
Jordan,7.2,0.0004,0.0006,0.0006,0.004,0.0132,0.0544,0.217,0.0194,0.0783,0.2137,0.6886,0.0159
