team,expected_points,p_champion,p_runner_up,p_third_place,p_semi_final,p_quarter_final,p_round_of_16,p_round_of_32,p_group_1,p_group_2,p_group_3,p_group_4,p_bonus_goals
Spain,52.57,0.168,0.0662,0.0858,0.3498,0.524,0.7458,0.9904,0.7354,0.2232,0.0352,0.0062,0.0104
England,50.6,0.14,0.108,0.0748,0.3694,0.5224,0.7162,0.9684,0.6392,0.259,0.0798,0.022,0.0146
Brazil,45.81,0.097,0.07,0.0674,0.2644,0.477,0.6946,0.9796,0.687,0.2212,0.0812,0.0106,0.013
France,45.73,0.0974,0.0708,0.0896,0.3018,0.467,0.7206,0.969,0.6162,0.2682,0.1012,0.0144,0.0157
Portugal,43.97,0.0828,0.0706,0.092,0.2974,0.4696,0.6658,0.9626,0.5586,0.3292,0.0902,0.022,0.0179
Belgium,40.79,0.057,0.0706,0.0528,0.2324,0.3916,0.6358,0.9548,0.6424,0.238,0.0914,0.0282,0.0216
Argentina,40.29,0.0738,0.0522,0.0598,0.2144,0.3458,0.6104,0.9666,0.652,0.2462,0.082,0.0198,0.0179
Germany,39.83,0.0558,0.0512,0.067,0.2132,0.3744,0.6478,0.9754,0.629,0.2582,0.1026,0.0102,0.012
Switzerland,32.46,0.0252,0.0332,0.0314,0.1262,0.2746,0.5586,0.9434,0.5272,0.3048,0.1354,0.0326,0.0191
Netherlands,32.24,0.0322,0.0444,0.0322,0.1432,0.2954,0.4882,0.8998,0.5108,0.268,0.151,0.0702,0.021
Mexico,31.29,0.0228,0.0384,0.0258,0.123,0.245,0.5166,0.9178,0.527,0.276,0.1416,0.0554,0.0243
United States,27.59,0.0218,0.0328,0.036,0.1306,0.241,0.4678,0.82,0.3748,0.2726,0.2244,0.1282,0.0262
Colombia,27.24,0.0134,0.0268,0.023,0.1004,0.2262,0.435,0.9006,0.3718,0.413,0.158,0.0572,0.021
Canada,24.5,0.0072,0.0194,0.0122,0.0686,0.1834,0.447,0.8854,0.3298,0.3786,0.2248,0.0668,0.0207
Norway,23.09,0.0086,0.0136,0.0206,0.063,0.1848,0.4332,0.8634,0.2608,0.404,0.2694,0.0658,0.0197
Croatia,22.38,0.0068,0.0178,0.017,0.0702,0.17,0.3634,0.8356,0.2572,0.4276,0.2276,0.0876,0.0212
Morocco,21.66,0.0072,0.019,0.0146,0.0646,0.1744,0.3756,0.852,0.2006,0.4484,0.2744,0.0766,0.0226
Turkey,21.06,0.004,0.0118,0.0078,0.0434,0.1238,0.341,0.7948,0.328,0.2964,0.2256,0.15,0.0276
Ecuador,20.96,0.0062,0.0108,0.0144,0.054,0.1454,0.3778,0.8654,0.2316,0.4018,0.3068,0.0598,0.0213
Uruguay,20.24,0.004,0.0096,0.006,0.0314,0.0892,0.3352,0.8758,0.2206,0.5198,0.1932,0.0664,0.0218
Japan,20.1,0.0054,0.0116,0.011,0.0476,0.1418,0.3112,0.7634,0.2714,0.3114,0.2544,0.1628,0.0268
Egypt,19.5,0.0054,0.0124,0.012,0.0516,0.1388,0.3522,0.7546,0.195,0.3664,0.277,0.1616,0.026
Austria,18.25,0.0038,0.0072,0.0104,0.0368,0.0886,0.2878,0.8224,0.2138,0.3958,0.2984,0.092,0.0201
Czech Republic,18.13,0.005,0.0132,0.0112,0.0476,0.1228,0.304,0.684,0.2042,0.283,0.2824,0.2304,0.0287
South Korea,17.58,0.0044,0.0108,0.0084,0.0442,0.1144,0.3004,0.6884,0.1964,0.2768,0.3002,0.2266,0.0282
Paraguay,17.35,0.0056,0.0124,0.0102,0.0502,0.1208,0.279,0.6338,0.192,0.25,0.274,0.284,0.0303
Ivory Coast,16.38,0.0034,0.0074,0.0104,0.0372,0.1128,0.3192,0.765,0.1344,0.31,0.443,0.1126,0.0247
Bosnia and Herzegovina,15.68,0.0028,0.0104,0.008,0.0396,0.122,0.309,0.6734,0.1242,0.2568,0.4272,0.1918,0.0241
Sweden,15.16,0.003,0.009,0.011,0.0368,0.1006,0.22,0.6308,0.1488,0.2604,0.3294,0.2614,0.0256
Senegal,14.98,0.0052,0.0058,0.0088,0.0362,0.104,0.2806,0.6828,0.114,0.278,0.4382,0.1698,0.0212
Iran,14.94,0.0016,0.0086,0.0098,0.0396,0.1056,0.269,0.6122,0.1164,0.2636,0.3528,0.2672,0.0246
Scotland,14.52,0.0022,0.0062,0.0086,0.0346,0.1022,0.2644,0.6902,0.1062,0.2798,0.444,0.17,0.0207
Algeria,13.87,0.0022,0.0034,0.0058,0.0214,0.0774,0.2302,0.667,0.1162,0.2902,0.4034,0.1902,0.0221
Australia,12.32,0.0026,0.0032,0.0042,0.0242,0.0644,0.1858,0.473,0.1052,0.181,0.276,0.4378,0.0248
Ghana,11.48,0.0016,0.0068,0.0052,0.0268,0.0724,0.1712,0.4892,0.0702,0.1964,0.381,0.3524,0.0253
South Africa,11.31,0.0024,0.0042,0.0038,0.0202,0.0626,0.1692,0.406,0.0724,0.1642,0.2758,0.4876,0.028
Tunisia,10.24,0.002,0.0034,0.0016,0.0126,0.0464,0.1168,0.3982,0.069,0.1602,0.2652,0.5056,0.0214
New Zealand,9.86,0.001,0.0044,0.0042,0.0184,0.0502,0.147,0.3442,0.0462,0.132,0.2788,0.543,0.0189
DR Congo,9.72,0.0022,0.0044,0.0058,0.0234,0.0616,0.1378,0.4186,0.041,0.144,0.4182,0.3968,0.0242
Panama,8.81,0.0008,0.003,0.0048,0.0158,0.046,0.1128,0.3142,0.0334,0.117,0.3116,0.538,0.0198
Uzbekistan,8.58,0.0016,0.003,0.0022,0.0152,0.045,0.105,0.323,0.0286,0.1138,0.3336,0.524,0.0196
Saudi Arabia,8.56,0.0014,0.003,0.0026,0.0132,0.038,0.1256,0.348,0.0204,0.1298,0.369,0.4808,0.019
Cape Verde,8.21,0.001,0.0024,0.0028,0.0118,0.0318,0.1182,0.3692,0.0236,0.1272,0.4026,0.4466,0.0159
Qatar,7.8,0.0004,0.003,0.0016,0.012,0.0328,0.0866,0.2024,0.0188,0.0598,0.2126,0.7088,0.0149
Jordan,7.42,0.0008,0.001,0.0022,0.009,0.0242,0.073,0.202,0.018,0.0678,0.2162,0.698,0.0155
Iraq,6.8,0.0004,0.0004,0.001,0.004,0.019,0.0546,0.1572,0.009,0.0498,0.1912,0.75,0.0133
Haiti,6.77,0.0004,0.0014,0.001,0.0052,0.0174,0.0562,0.16,0.0062,0.0506,0.2004,0.7428,0.0114
Curaçao,6.44,0.0002,0.0008,0.0012,0.0034,0.0114,0.0368,0.106,0.005,0.03,0.1476,0.8174,0.015
