season,date,round,home_team,away_team,home_score,away_score,game_id,home_yellow,away_yellow,home_red,away_red,home_corners,away_corners,home_fouls,away_fouls,went_to_pens,went_to_et,total_goals,total_corners,total_cards,gxcxc,referee,competition
2010,2010-06-11,Group stage,South Africa,Mexico,1.0,1.0,8746b4ed,2,2,0,0,0,0,0,0,False,False,2.0,0,4,0.0,,World Cup
2010,2010-06-11,Group stage,Uruguay,France,0.0,0.0,95ff6ee4,4,3,1,0,0,0,0,0,False,False,0.0,0,8,0.0,,World Cup
2010,2010-06-12,Group stage,Argentina,Nigeria,1.0,0.0,bbf5aa8a,1,1,0,0,0,0,0,0,False,False,1.0,0,2,0.0,,World Cup
2010,2010-06-12,Group stage,England,United States,1.0,1.0,8342135f,2,3,0,0,0,0,0,0,False,False,2.0,0,5,0.0,,World Cup
2010,2010-06-12,Group stage,South Korea,Greece,2.0,0.0,c3f71b02,0,1,0,0,0,0,0,0,False,False,2.0,0,1,0.0,,World Cup
2010,2010-06-13,Group stage,Algeria,Slovenia,0.0,1.0,60a0db2e,3,1,1,0,0,0,0,0,False,False,1.0,0,5,0.0,,World Cup
2010,2010-06-13,Group stage,Germany,Australia,4.0,0.0,5290d03a,1,3,0,1,0,0,0,0,False,False,4.0,0,5,0.0,,World Cup
2010,2010-06-13,Group stage,Serbia,Ghana,0.0,1.0,a18697ef,3,2,1,0,0,0,0,0,False,False,1.0,0,6,0.0,,World Cup
2010,2010-06-14,Group stage,Italy,Paraguay,1.0,1.0,d58bac17,1,1,0,0,0,0,0,0,False,False,2.0,0,2,0.0,,World Cup
2010,2010-06-14,Group stage,Japan,Cameroon,1.0,0.0,c397cc01,1,1,0,0,0,0,0,0,False,False,1.0,0,2,0.0,,World Cup
2010,2010-06-14,Group stage,Netherlands,Denmark,2.0,0.0,7109074a,2,1,0,0,0,0,0,0,False,False,2.0,0,3,0.0,,World Cup
2010,2010-06-15,Group stage,Brazil,Korea DPR,2.0,1.0,37c28fe8,1,0,0,0,0,0,0,0,False,False,3.0,0,1,0.0,,World Cup
2010,2010-06-15,Group stage,Ivory Coast,Portugal,0.0,0.0,e767ca24,2,1,0,0,0,0,0,0,False,False,0.0,0,3,0.0,,World Cup
2010,2010-06-15,Group stage,New Zealand,Slovakia,1.0,1.0,6aded3f2,2,1,0,0,0,0,0,0,False,False,2.0,0,3,0.0,,World Cup
2010,2010-06-16,Group stage,Honduras,Chile,0.0,1.0,1e13a414,1,2,0,0,0,0,0,0,False,False,1.0,0,3,0.0,,World Cup
2010,2010-06-16,Group stage,South Africa,Uruguay,0.0,3.0,1f5e149c,3,0,0,0,0,0,0,0,False,False,3.0,0,3,0.0,,World Cup
2010,2010-06-16,Group stage,Spain,Switzerland,0.0,1.0,ee27f2d6,0,4,0,0,0,0,0,0,False,False,1.0,0,4,0.0,,World Cup
2010,2010-06-17,Group stage,Argentina,South Korea,4.0,1.0,e4380fff,3,2,0,0,0,0,0,0,False,False,5.0,0,5,0.0,,World Cup
2010,2010-06-17,Group stage,France,Mexico,0.0,2.0,54143638,2,4,0,0,0,0,0,0,False,False,2.0,0,6,0.0,,World Cup
2010,2010-06-17,Group stage,Greece,Nigeria,2.0,1.0,63434e3e,3,1,0,0,0,0,0,0,False,False,3.0,0,4,0.0,,World Cup
2010,2010-06-18,Group stage,England,Algeria,0.0,0.0,4201c168,1,1,0,0,0,0,0,0,False,False,0.0,0,2,0.0,,World Cup
2010,2010-06-18,Group stage,Germany,Serbia,0.0,1.0,d3771d0e,5,4,1,0,0,0,0,0,False,False,1.0,0,10,0.0,,World Cup
2010,2010-06-18,Group stage,Slovenia,United States,2.0,2.0,82613a26,4,1,0,0,0,0,0,0,False,False,4.0,0,5,0.0,,World Cup
2010,2010-06-19,Group stage,Cameroon,Denmark,1.0,2.0,2b70a1fc,2,2,0,0,0,0,0,0,False,False,3.0,0,4,0.0,,World Cup
2010,2010-06-19,Group stage,Ghana,Australia,1.0,1.0,96816aec,3,1,0,1,0,0,0,0,False,False,2.0,0,5,0.0,,World Cup
2010,2010-06-19,Group stage,Netherlands,Japan,1.0,0.0,94e1d20f,1,0,0,0,0,0,0,0,False,False,1.0,0,1,0.0,,World Cup
2010,2010-06-20,Group stage,Brazil,Ivory Coast,3.0,1.0,0bed4493,2,2,1,0,0,0,0,0,False,False,4.0,0,5,0.0,,World Cup
2010,2010-06-20,Group stage,Italy,New Zealand,1.0,1.0,857d8007,0,3,0,0,0,0,0,0,False,False,2.0,0,3,0.0,,World Cup
2010,2010-06-20,Group stage,Slovakia,Paraguay,0.0,2.0,c8d34290,3,1,0,0,0,0,0,0,False,False,2.0,0,4,0.0,,World Cup
2010,2010-06-21,Group stage,Chile,Switzerland,1.0,0.0,a58d1b6e,6,3,0,0,0,0,0,0,False,False,1.0,0,9,0.0,,World Cup
2010,2010-06-21,Group stage,Portugal,Korea DPR,7.0,0.0,962fecdc,2,2,0,0,0,0,0,0,False,False,7.0,0,4,0.0,,World Cup
2010,2010-06-21,Group stage,Spain,Honduras,2.0,0.0,3c50454e,0,2,0,0,0,0,0,0,False,False,2.0,0,2,0.0,,World Cup
2010,2010-06-22,Group stage,France,South Africa,1.0,2.0,45967b1f,1,0,1,0,0,0,0,0,False,False,3.0,0,2,0.0,,World Cup
2010,2010-06-22,Group stage,Greece,Argentina,0.0,2.0,4252e48b,1,1,0,0,0,0,0,0,False,False,2.0,0,2,0.0,,World Cup
2010,2010-06-22,Group stage,Mexico,Uruguay,0.0,1.0,8d4255de,2,1,0,0,0,0,0,0,False,False,1.0,0,3,0.0,,World Cup
2010,2010-06-22,Group stage,Nigeria,South Korea,2.0,2.0,ea3fd048,3,1,0,0,0,0,0,0,False,False,4.0,0,4,0.0,,World Cup
2010,2010-06-23,Group stage,Australia,Serbia,2.0,1.0,d51ec74d,3,2,0,0,0,0,0,0,False,False,3.0,0,5,0.0,,World Cup
2010,2010-06-23,Group stage,Ghana,Germany,0.0,1.0,f527754b,1,1,0,0,0,0,0,0,False,False,1.0,0,2,0.0,,World Cup
2010,2010-06-23,Group stage,Slovenia,England,0.0,1.0,ef32e47f,3,1,0,0,0,0,0,0,False,False,1.0,0,4,0.0,,World Cup
2010,2010-06-23,Group stage,United States,Algeria,1.0,0.0,6bb0219a,2,4,0,1,0,0,0,0,False,False,1.0,0,7,0.0,,World Cup
2010,2010-06-24,Group stage,Cameroon,Netherlands,1.0,2.0,3f1b44f5,2,3,0,0,0,0,0,0,False,False,3.0,0,5,0.0,,World Cup
2010,2010-06-24,Group stage,Denmark,Japan,1.0,3.0,7914ff74,3,2,0,0,0,0,0,0,False,False,4.0,0,5,0.0,,World Cup
2010,2010-06-24,Group stage,Paraguay,New Zealand,0.0,0.0,6fd17d24,2,1,0,0,0,0,0,0,False,False,0.0,0,3,0.0,,World Cup
