referee,matches,cards_pg
István Kovács,3,10.0
Antonio Matéu,3,9.67
Jesús Gil,1,7.0
Halil Umut Meler,3,6.33
Craig Thomson,2,6.0
Mark Clattenburg,4,5.75
Benjamin Williams,3,5.67
Pavel Královec,2,5.5
Ismail Elfath,3,5.33
Viktor Kassai,5,5.2
Stéphane Lannoy,3,5.0
Sergey Karasev,6,5.0
Howard Webb,6,5.0
Wolfgang Stark,2,5.0
Daniele Orsato,10,4.8
Felix Zwayer,4,4.75
Daniel Siebert,7,4.71
Janny Sikazwe,3,4.67
Ravshan Irmatov,6,4.67
Danny Makkelie,8,4.38
Anthony Taylor,8,4.38
Fernando Rapallini,6,4.33
Alireza Faghani,6,4.33
Gianluca Rocchi,3,4.33
Ovidiu Hațegan,4,4.25
Marco Guida,2,4.0
Ivan Kružliak,2,4.0
Nawaf Shukralla,4,4.0
Svein Oddvar Moen,2,4.0
William Collum,2,4.0
Gehad Grisha,1,4.0
Mario Escobar,1,4.0
Abdulrahman Ibrahim Al Jassim,2,4.0
Yuichi Nishimura,1,4.0
Enrique Cáceres,2,4.0
César Ramos,1,4.0
Andrés Matonte,1,4.0
Cüneyt Çakιr,15,3.87
Facundo Tello,5,3.8
Slavko Vinčič,8,3.75
Jonas Eriksson,8,3.75
Nicola Rizzoli,11,3.73
Andrés Cunha,3,3.67
Glenn Nyberg,3,3.67
Joel Aguilar,3,3.67
Wilton Sampaio,4,3.5
Mark Geiger,6,3.5
Antonio Matéu Lahoz,2,3.5
Sandro Schärer,2,3.5
Michael Oliver,10,3.5
François Letexier,4,3.5
Szymon Marciniak,10,3.4
Milorad Mažić,8,3.38
Mohammed Abdulla Hassan,3,3.33
Sandro Ricci,6,3.33
Malang Diédhiou,3,3.33
Björn Kuipers,16,3.31
Carlos Velasco,8,3.12
Damir Skomina,10,3.1
Clément Turpin,12,3.08
Marco Antonio Rodríguez,2,3.0
Andreas Ekberg,1,3.0
Enrique Osses,2,3.0
Noumandiez Doué,2,3.0
Djamel Haïmoudi,4,3.0
Orel Grinfeeld,1,3.0
Chris Beath,1,3.0
Martin Atkinson,3,3.0
Victor Gomes,2,3.0
Raphael Claus,2,3.0
Felix Brych,11,2.82
Artur Soares Dias,5,2.8
Pedro Proença,7,2.71
Néstor Pitana,9,2.56
Carlos del Cerro,2,2.5
Bakary Papa Gassama,3,2.0
Mustapha Ghorbal,2,2.0
Peter O'Leary,1,2.0
Antonio Mateu Lahoz,3,2.0
Marcos Rodriguez,1,2.0
Wilmar Roldán,4,2.0
Carlos Vera,2,2.0
César Arturo Ramos,6,1.83
Jesús Valenzuela,2,1.5
Jair Marrufo,1,1.0
Iván Barton,3,1.0
Stéphanie Frappart,1,1.0
Matt Conger,2,1.0
