team,matches,yellow_pg,red_pg,corners_pg,fouls_pg
Belgium,29,1.52,0.03,6.1,12.76
Turkey,11,3.09,0.09,5.55,12.36
Brazil,22,1.64,0.05,5.45,10.73
Bosnia-Herzegovina,3,1.0,0.0,5.33,13.67
Switzerland,29,1.93,0.07,5.28,12.14
Tunisia,6,1.5,0.0,5.17,14.5
Portugal,37,1.68,0.05,4.89,8.89
Ecuador,6,1.33,0.17,4.83,16.5
Austria,11,2.27,0.09,4.82,13.91
Argentina,23,1.96,0.0,4.78,10.3
Spain,41,1.29,0.02,4.63,7.8
Germany,40,1.5,0.05,4.53,8.22
Denmark,23,1.52,0.0,4.52,8.83
France,43,1.56,0.02,4.44,9.53
Senegal,7,1.86,0.0,4.29,13.29
England,41,1.12,0.0,4.2,7.98
Scotland,6,1.33,0.17,4.17,10.67
Croatia,31,1.87,0.03,4.13,12.94
Canada,3,2.67,0.0,4.0,11.0
South Korea,14,2.07,0.07,4.0,10.29
Iceland,8,2.0,0.0,3.88,13.25
Russia,17,1.47,0.06,3.82,12.12
Japan,15,1.47,0.0,3.8,9.4
Nigeria,10,1.2,0.0,3.8,10.2
Romania,7,2.71,0.0,3.71,12.71
Czech Republic,15,2.13,0.13,3.67,9.07
Colombia,9,1.56,0.11,3.67,17.22
Georgia,4,1.75,0.0,3.5,7.5
Saudi Arabia,6,2.5,0.0,3.5,14.33
Hungary,10,2.9,0.0,3.5,12.9
Albania,6,2.83,0.17,3.5,10.0
Poland,21,2.1,0.1,3.48,10.71
Mexico,15,2.2,0.0,3.47,10.53
Ukraine,14,1.21,0.0,3.36,8.64
N. Macedonia,3,2.67,0.0,3.33,11.0
Ivory Coast,6,1.83,0.0,3.33,8.17
Sweden,15,1.6,0.07,3.27,10.33
Italy,28,2.29,0.04,3.25,9.25
Northern Ireland,4,1.5,0.0,3.25,14.0
Netherlands,32,2.06,0.09,3.22,10.03
United States,12,1.5,0.0,3.08,7.83
Peru,3,1.67,0.0,3.0,12.67
Cameroon,9,1.89,0.22,3.0,7.67
Qatar,3,2.33,0.0,3.0,10.33
Wales,13,1.92,0.23,2.92,10.38
Iran,9,2.0,0.0,2.89,14.56
Serbia,12,3.25,0.08,2.83,10.17
Costa Rica,11,2.18,0.09,2.73,14.91
Morocco,10,1.7,0.1,2.5,15.9
Ghana,11,2.27,0.0,2.45,8.09
Uruguay,19,1.63,0.16,2.42,9.21
Greece,11,2.18,0.18,2.36,5.55
Slovakia,15,2.2,0.0,2.27,8.73
Australia,13,2.08,0.15,2.15,10.85
Egypt,3,1.67,0.0,2.0,12.67
Honduras,6,2.33,0.17,2.0,7.67
Rep. of Ireland,7,2.29,0.29,2.0,7.43
Chile,8,2.75,0.12,2.0,7.62
Algeria,7,2.0,0.29,2.0,9.86
Slovenia,7,2.71,0.14,1.86,7.29
Panama,3,3.67,0.0,1.67,16.33
Finland,3,1.33,0.0,0.33,9.33
South Africa,3,1.67,0.0,0.0,0.0
Paraguay,5,1.8,0.0,0.0,0.0
Korea DPR,3,0.67,0.0,0.0,0.0
New Zealand,3,2.0,0.0,0.0,0.0
